SpeakerID,d,sgm,Cohens_d
1,0.650001440133644,0.0105903553029774,0.54493092800516
2,0.580964648106858,0.00948731643278895,0.28901136603114
3,0.477515211732918,0.0103318491062529,-0.0797487448685098
6,0.601646572357,0.0118176719930831,0.364317490615014
7,0.496829689298044,0.0115908979949106,-0.0112385771146616
4,0.503029490787043,0.0111128090250662,0.0107393684405506
5,0.501985540552154,0.0121624181634555,0.0070385870541147
22,0.567746880511645,0.0133012365332677,0.241322489891973
26,0.496253513041172,0.0104993257419263,-0.0132811456929822
27,0.50417497453799,0.0119098617403083,0.0148001695487638
21,0.51234636765102,0.0117251313313721,0.0437737224817117
23,0.550752955118971,0.014688822914146,0.180402618059939
24,0.578844157429729,0.0124075105264703,0.281340019892246
25,0.462764226157165,0.0108597967231325,-0.132189620644482
12,0.607512415151479,0.0128925390357087,0.385855942343628
14,0.508039229389429,0.01177598252584,0.0285002552072669
15,0.403196253679009,0.0132086043342381,-0.346599078333382
17,0.539598388190375,0.0108135811990646,0.140603926918565
20,0.466809328431456,0.0116003863780358,-0.117793928899737
11,0.484264961215134,0.0140608638821641,-0.0557937303444315
13,0.566915588995075,0.0133142852163162,0.238332957767377
16,0.624449179311509,0.0167531027306799,0.448570291693234
18,0.444221641927799,0.010534030388393,-0.198377791220434
19,0.510959294591616,0.0132869007223691,0.0388545754090574
